,name,coordinates,nearestSchool,nearestSchool_distance,nearestStation,nearestStation_distance,School_Y,School_X,School_Name,STOP_ID,LATITUDE,LONGITUDE,STOP_NAME,real_school_distance,real_school_duration,real_station_distance,real_station_duration
0,101/25-33 Wills Street Melbourne VIC 3000,"[-37.8107757, 144.9569269]",Ozford College,0.3222,Flagstaff Railway Station (Melbourne City),0.1736,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),0.7,1.7,0.5,1.2
1,2905B/11 Rose Lane Melbourne VIC 3000,"[-37.815446, 144.9541165]",Hester Hornbrook Academy,0.2163,Southern Cross Railway Station (Melbourne City),0.3625,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),0.9,2.3,1.5,3.0
2,1901/368 St Kilda Road Melbourne VIC 3000,"[-37.8318086, 144.9710272]",MacRobertson Girls High School,0.4589,Flinders Street Railway Station (Melbourne City),1.5407,-37.83589,144.97186,MacRobertson Girls High School,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),2.0,3.6,1.6,2.4
3,1211/200 Spencer Street Melbourne VIC 3000,"[-37.816228, 144.9532465]",Hester Hornbrook Academy,0.258,Southern Cross Railway Station (Melbourne City),0.2467,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),0.8,1.8,1.4,2.4
4,1008/380 Little Lonsdale Street Melbourne VIC 3000,"[-37.8121026, 144.9581291]",Ozford College,0.3381,Flagstaff Railway Station (Melbourne City),0.2142,-37.81289,144.95442,Ozford College,19841,-37.812,144.9557,Flagstaff Railway Station (Melbourne City),0.7,1.8,0.5,1.3
5,3/27 Flinders Lane Melbourne VIC 3000,"[-37.8147317, 144.9733655]",Stott's College,0.4319,Parliament Railway Station (Melbourne City),0.4052,-37.81154,144.97056,Stott's College,19843,-37.8111,144.9729,Parliament Railway Station (Melbourne City),0.6,1.4,0.8,1.7
6,611/408 Lonsdale Street Melbourne VIC 3000,"[-37.8125979, 144.9604012]",Ozford College,0.5277,Melbourne Central Railway Station (Melbourne City),0.3566,-37.81289,144.95442,Ozford College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),0.9,2.1,0.5,1.2
7,102/9 Bligh Place Melbourne VIC 3000,"[-37.817317, 144.96371]",Hester Hornbrook Academy,0.6712,Flinders Street Railway Station (Melbourne City),0.3095,-37.81654,144.95615,Hester Hornbrook Academy,19854,-37.8183,144.967,Flinders Street Railway Station (Melbourne City),0.9,2.3,2.3,5.8
8,1715/220 Spencer Street Melbourne VIC 3000,"[-37.8157157, 144.9529559]",Hester Hornbrook Academy,0.2958,Southern Cross Railway Station (Melbourne City),0.2785,-37.81654,144.95615,Hester Hornbrook Academy,22180,-37.8179,144.9514,Southern Cross Railway Station (Melbourne City),0.8,1.9,1.4,2.5
9,104/300 Swanston Street Melbourne VIC 3000,"[-37.8106088, 144.9645798]",Stott's College,0.5366,Melbourne Central Railway Station (Melbourne City),0.1913,-37.81154,144.97056,Stott's College,19842,-37.8099,144.9626,Melbourne Central Railway Station (Melbourne City),0.7,2.1,1.0,2.6
