,name,property_type,years,coordinates,postcode,sa2_coor,closest_sa2,bed,bath,car,Income,Population,week_rent
0,101/25-33 Wills Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8107757, 144.9569269]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1,1,,126197.0,47618.399999999965,400.0
1,2905B/11 Rose Lane Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.815446, 144.9541165]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2,1,1,126197.0,47618.399999999965,575.0
2,1901/368 St Kilda Road Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8318086, 144.9710272]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,3,2,2,126197.0,47618.399999999965,1800.0
3,1211/200 Spencer Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.816228, 144.9532465]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1,1,1,126197.0,47618.399999999965,480.0
4,1008/380 Little Lonsdale Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8121026, 144.9581291]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1,1,,126197.0,47618.399999999965,400.0
5,3/27 Flinders Lane Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8147317, 144.9733655]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1,1,,126197.0,47618.399999999965,420.0
6,611/408 Lonsdale Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8125979, 144.9604012]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1,1,,126197.0,47618.399999999965,350.0
7,102/9 Bligh Place Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.817317, 144.96371]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2,1,1,126197.0,47618.399999999965,600.0
8,1715/220 Spencer Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8157157, 144.9529559]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2,2,1,126197.0,47618.399999999965,600.0
9,104/300 Swanston Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8106088, 144.9645798]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2,1,,126197.0,47618.399999999965,550.0
10,Unit 1713/200 Spencer St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.816228, 144.9532465]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1,1,1,126197.0,47618.399999999965,440.0
11,701/101 Therry St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8074149, 144.9591227]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1,1,,126197.0,47618.399999999965,No Available
12,816/101 Therry St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8074149, 144.9591227]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2,2,,126197.0,47618.399999999965,No Available
13,3902/220 Spencer Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8157157, 144.9529559]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2,2,1,126197.0,47618.399999999965,650.0
14,3405/288 Spencer Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.813775, 144.9520948]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1,1,,126197.0,47618.399999999965,440.0
15,1007/238 Flinders St Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.8175167, 144.9664983]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,1,1,,126197.0,47618.399999999965,320.0
16,1211/260 Spencer Street Melbourne VIC 3000,Apartment / Unit / Flat,2022,"[-37.814564, 144.9522856]",3000,"[xcoord    144.962765
ycoord    -37.813377
Name: Melbourne, dtype: float64]",Melbourne,2,2,,126197.0,47618.399999999965,700.0
