,SA2 code,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2026 Population,2031 Population,2036 Population,2023 Population,2024 Population,2025 Population,SA2 name
0,201011001,12639,13520,14408,15472,16823,16623.337207031203,21796.399999999907,26956.399999999907,32116.399999999907,17329.283789062407,18035.23037109361,18741.176953124814,Alfredton
1,201011002,12261,12237,12311,12183,12076,12366.05320046164,11916.800000000003,11704.800000000003,11492.800000000003,12413.87434156012,12461.695482658615,12509.516623757096,Ballarat
2,201011005,7407,7413,7452,7369,7232,7749.16896750711,7098.800000000003,6901.800000000003,6704.800000000003,7860.948493726319,7972.728019945556,8084.507546164765,Buninyong
3,201011006,7617,8174,8876,9736,10640,10722.789137961576,14334.199999999953,18138.199999999953,21942.199999999953,11318.066431403859,11913.343724846141,12508.621018288424,Delacombe
4,201011007,4002,4040,4109,4148,4213,4176.433098810368,4473.399999999994,4738.399999999994,5003.399999999994,4203.091835345644,4229.750571880919,4256.409308416194,Smythes Creek
5,201011008,14933,15056,15160,15242,15314,15572.18908913352,15804.600000000006,16278.600000000006,16752.600000000006,15715.12325106532,15858.05741299718,16000.99157492898,Wendouree - Miners Rest
6,201011481,9462,9530,9623,9639,9656,9731.100000000006,9929.900000000009,10178.400000000009,10426.900000000009,9780.800000000003,9830.5,9880.199999999997,Ballarat East - Warrenheip
7,201011482,14374,14501,14612,14660,14692,14806.299999999988,15124.299999999988,15521.799999999988,15919.299999999988,14885.799999999988,14965.299999999988,15044.799999999988,Ballarat North - Invermay
8,201011483,11759,11994,12128,12179,12207,12377.700000000012,12810.099999999977,13350.599999999977,13891.099999999977,12485.799999999988,12593.899999999994,12702.0,Canadian - Mount Clear
9,201011484,13224,13271,13278,13216,13062,13096.5,12944.899999999994,12755.399999999994,12565.899999999994,13058.600000000006,13020.699999999997,12982.800000000003,Sebastopol - Redan
10,201021009,6093,6217,6344,6457,6533,6499.281802645593,7112.799999999988,7672.799999999988,8232.799999999988,6560.625753876651,6621.969705107709,6683.313656338782,Bacchus Marsh Surrounds
11,201021010,7910,7954,7981,8016,8036,8167.127907492904,8199.199999999997,8356.199999999997,8513.199999999997,8227.023674242431,8286.919440991958,8346.815207741485,Creswick - Clunes
12,201021011,9238,9380,9536,9713,9870,9670.369686612219,10665.299999999988,11463.799999999988,12262.299999999988,9720.979267282193,9771.588847952182,9822.198428622156,Daylesford
