SA2,SA2 NAME,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
101021007,Braidwood," 1,905 "," 1,966 "," 2,025 "," 2,098 "," 2,133 "," 2,153 ", 49 , 50 , 50 , 51 , 50 , 50 ," 76,616,664 "," 83,198,986 "," 88,248,284 "," 93,610,368 "," 101,830,606 "," 109,961,530 "," 32,509 "," 35,047 "," 35,946 "," 36,963 "," 38,093 "," 39,716 "," 40,219 "," 42,319 "," 43,579 "," 44,619 "," 47,741 "," 51,074 "
101021008,Karabar," 5,040 "," 5,026 "," 4,972 "," 4,789 "," 4,866 "," 4,937 ", 41 , 42 , 42 , 43 , 43 , 42 ," 264,979,503 "," 277,154,940 "," 285,155,682 "," 281,555,361 "," 289,762,288 "," 301,618,607 "," 49,017 "," 51,408 "," 53,069 "," 53,942 "," 54,942 "," 55,870 "," 52,575 "," 55,144 "," 57,352 "," 58,792 "," 59,548 "," 61,093 "
101021009,Queanbeyan," 6,069 "," 6,155 "," 6,139 "," 6,049 "," 6,194 "," 6,419 ", 39 , 39 , 39 , 39 , 40 , 39 ," 321,624,070 "," 341,083,467 "," 353,910,600 "," 353,111,654 "," 367,366,063 "," 390,044,004 "," 49,517 "," 51,570 "," 52,794 "," 53,975 "," 54,716 "," 54,999 "," 52,995 "," 55,416 "," 57,650 "," 58,375 "," 59,310 "," 60,764 "
101021010,Queanbeyan - East," 2,928 "," 2,898 "," 2,940 "," 2,924 "," 2,971 "," 3,106 ", 39 , 40 , 40 , 40 , 40 , 40 ," 170,305,020 "," 173,924,950 "," 183,269,025 "," 183,669,376 "," 186,867,083 "," 199,164,715 "," 51,036 "," 53,598 "," 55,233 "," 55,277 "," 55,268 "," 55,650 "," 58,164 "," 60,016 "," 62,336 "," 62,814 "," 62,897 "," 64,123 "
101021011,Queanbeyan Region," 8,453 "," 8,775 "," 8,959 "," 9,211 "," 9,768 "," 10,381 ", 45 , 46 , 46 , 46 , 46 , 46 ," 555,072,840 "," 595,599,874 "," 624,607,399 "," 658,299,033 "," 717,452,753 "," 790,019,714 "," 54,361 "," 57,055 "," 59,218 "," 60,896 "," 62,857 "," 65,366 "," 65,666 "," 67,875 "," 69,718 "," 71,469 "," 73,449 "," 76,102 "
101021012,Queanbeyan West - Jerrabomberra," 7,545 "," 7,679 "," 7,778 "," 7,843 "," 8,067 "," 8,039 ", 41 , 41 , 42 , 43 , 43 , 44 ," 512,658,180 "," 547,471,267 "," 571,250,771 "," 588,173,409 "," 618,616,023 "," 639,311,430 "," 59,961 "," 62,046 "," 65,316 "," 65,961 "," 67,545 "," 68,719 "," 67,947 "," 71,295 "," 73,444 "," 74,993 "," 76,685 "," 79,526 "
101031013,Bombala," 1,354 "," 1,355 "," 1,365 "," 1,384 "," 1,358 "," 1,301 ", 48 , 48 , 49 , 48 , 49 , 48 ," 56,195,936 "," 59,739,246 "," 60,022,863 "," 67,534,543 "," 67,898,894 "," 69,218,945 "," 35,247 "," 38,201 "," 38,716 "," 41,774 "," 42,237 "," 44,115 "," 41,504 "," 44,088 "," 43,973 "," 48,797 "," 49,999 "," 53,204 "
101031014,Cooma," 3,777 "," 3,759 "," 3,746 "," 3,752 "," 3,711 "," 3,680 ", 46 , 47 , 47 , 47 , 47 , 47 ," 170,139,224 "," 178,012,691 "," 177,026,748 "," 186,105,671 "," 188,193,949 "," 187,910,847 "," 37,880 "," 40,129 "," 40,674 "," 41,771 "," 43,231 "," 43,586 "," 45,046 "," 47,356 "," 47,258 "," 49,602 "," 50,712 "," 51,063 "
101031015,Cooma Region," 1,629 "," 1,712 "," 1,767 "," 1,794 "," 1,823 "," 1,832 ", 49 , 49 , 48 , 49 , 49 , 48 ," 66,731,529 "," 72,560,731 "," 77,156,265 "," 82,200,802 "," 88,452,143 "," 93,931,414 "," 33,259 "," 34,949 "," 35,806 "," 36,944 "," 39,666 "," 40,074 "," 40,965 "," 42,384 "," 43,665 "," 45,820 "," 48,520 "," 51,273 "
101031016,Jindabyne - Berridale," 3,390 "," 3,496 "," 3,677 "," 3,873 "," 4,015 "," 3,953 ", 43 , 43 , 44 , 44 , 44 , 44 ," 144,858,004 "," 154,562,660 "," 168,015,945 "," 180,468,628 "," 191,710,820 "," 196,867,405 "," 34,925 "," 36,646 "," 37,161 "," 38,159 "," 37,861 "," 39,832 "," 42,731 "," 44,211 "," 45,694 "," 46,597 "," 47,749 "," 49,802 "
