,name,coordinates,real_station_distance,real_station_duration,nearestSchool,nearestSchool_distance,School_Y,School_X,School_Name,real_school_distance,real_school_duration
0,33 Stockmans Way Kensington VIC 3031,"[-37.7915848, 144.9221606]",1.5,3.3,Kensington Primary School,0.4957,-37.79267,144.92762,Kensington Primary School,1.5,3.6
1,170 Sunbury Road Bulla VIC 3428,"[-37.6301643, 144.801167]",9.7,13.4,Keelonith Primary School,6.9001,-37.6232,144.87884,Keelonith Primary School,10.4,11.1
2,45 RIVERSDALE Road Yarra Junction VIC 3797,"[-37.7889973, 145.6246886]",28.5,33.6,Upper Yarra Secondary College,0.3497,-37.79209,145.62393,Upper Yarra Secondary College,0.4,0.8
3,13 Yarra Valley Crescent East Warburton VIC 3799,"[-37.7288752, 145.7508393]",42.4,49.9,Warburton Primary School,5.262,-37.7558,145.7017,Warburton Primary School,7.6,10.2
4,2 Oakpark Drive Harkness VIC 3337,"[-37.6661572, 144.5475945]",24.2,23.0,Arnolds Creek Primary School,0.4183,-37.66636,144.54286,Arnolds Creek Primary School,0.6,1.3
5,7 Maple Close Harkness VIC 3337,"[-37.6642329, 144.5429072]",24.8,24.3,Arnolds Creek Primary School,0.2361,-37.66636,144.54286,Arnolds Creek Primary School,0.4,1.0
6,75 Oakpark Drive Melton West VIC 3337,"[-37.6652157, 144.5406814]",24.9,24.5,Arnolds Creek Primary School,0.2304,-37.66636,144.54286,Arnolds Creek Primary School,0.3,0.8
7,24 Lady Penrhyn Drive Melton West VIC 3337,"[-37.6677816, 144.5549576]",23.9,22.1,Wedge Park Primary School,0.8725,-37.67562,144.55421,Wedge Park Primary School,1.2,2.3
8,1 Gregory place Melton West VIC 3337,"[-37.6842537, 144.5525174]",23.1,21.7,St Catherine of Siena School,0.641,-37.67878,144.5502,St Catherine of Siena School,0.9,1.8
9,47 Fairhaven Boulevard Melton West VIC 3337,"[-37.687897, 144.5523034]",23.3,22.2,OneSchool Global Vic,0.8913,-37.6863,144.5424,OneSchool Global Vic,1.2,2.0
10,5 Homestead Close Melton West VIC 3337,"[-37.6781126, 144.5572266]",24.3,23.1,Wedge Park Primary School,0.3839,-37.67562,144.55421,Wedge Park Primary School,1.1,2.2
